textid,words,sylls,ltrvec,perf,isrhymed
1,fame name excelld beheld won crown strove love dame came,ame ame elld eld on own ove ove ame ame,A A B C D D E E A A,1 1 0 1 1 0 1 1 1 1,1
2,ride guide side,ide uide ide,A A A,1 0 1,1
3,array way,ay ay,A A,1 1,1
4,recite fight knight,ite ight ight,A A A,1 1 1,1
5,cost host queen seen fear forbear sow plough length strength forborne turn,ost ost een een ear ear ow ough ength ength orne urn,A A B B C C D D E E F G,1 1 1 1 1 1 1 1 1 1 0 1,1
6,host most cost,ost ost ost,A A A,1 1 1,1
7,pursue true new,ue ue ew,A A A,1 1 1,1
8,renown town pride aside lay way cry high last embraced are prepare deeds weeds destroy joy relief grief,own own ide ide ay ay y igh ast aced are are eds eds oy oy ief ief,A A B B C C D D E E F F G G H H I I,1 1 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1,1
9,train pain we victory redress success alone none grief relief implore before bears years estate wait nigh clemency bears tears,ain ain e y ess ess one one ief ief ore ore ars ars ate ait igh y ars ars,A A B B C C D D E E F F G G H H B B G G,1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0,1
10,seen queen day array lost host commands lands those foes lie tyranny dead fed train plain mind kind,een een ay ay ost ost ands ands ose oes ie y ead ed ain ain ind ind,A A B B C C D D E E F F G G H H I I,1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1,1
11,flow two deplore before flew crew swore bore belongs wrongs declared reward,ow o ore ore ew ew ore ore ongs ongs ared ard,A A B B C C B B D D E F,1 1 1 1 1 1 1 1 0 0 0 1,1
12,delay way behind wind war car,ay ay ind ind ar ar,A A B B C C,1 1 1 1 1 1,1
13,attire fire flew hue bore minotaur rage presage see chivalry,ire ire ew ue ore aur age age ee y,A A B B C D E E F F,1 1 1 0 1 0 1 1 1 0,1
14,night light tell fell won town again slain,ight ight ell ell on own ain ain,A A B B C C D D,1 1 1 1 1 0 1 1,1
15,interrd deferrd cries obsequies assist dismissd,errd errd ies ies ist issd,A A B B C D,0 0 0 0 1 0,1
16,slain plain returnd burnd bred dead,ain ain urnd urnd ed ead,A A B B C C,1 1 0 0 1 1,1
17,rest oppressd sent monument seemd deemd fame same ground wound were appear,est essd ent ent eemd eemd ame ame ound ound ere ear,A B C C D D E E F F G G,1 0 1 1 0 0 1 1 1 1 1 1,1
18,part heart one palamon rent tent care war lie die,art eart one on ent ent are ar ie ie,A A B B C C D D E E,1 1 1 0 1 1 1 0 1 1,1
19,sound crownd renownd,ound ownd ownd,A B B,1 0 0,1
20,loosed enclosed day may seen green new hue day may keep sleep moves loves day array fair hair bind wind night light,oosed osed ay ay een een ew ue ay ay eep eep oves oves ay ay air air ind ind ight ight,A B C C D D E E C C F F G G C C H H I I J J,0 0 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1,1
21,way day may,ay ay ay,A A A,1 1 1,1
22,stand hand drew dew red head clear hear sing spring made laid withal wall square air,and and ew ew ed ead ear ear ing ing ade aid al all uare air,A A B B C C D D E E C C F F G G,1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0,1
23,knight light breathe beneath way day,ight ight eathe eath ay ay,A A B B C C,1 1 1 1 1 1,1
24,around crownd ground,ound ownd ound,A B A,1 0 1,1
25,knew view height sight,ew iew eight ight,A A B C,1 0 1 1,2
26,seen green between,een een een,A A A,1 1 1,1
